x_m,y_m
59.510154865135775,-13.23386529355227
59.60653157382643,-13.260489211293402
59.702912190505245,-13.287104519849347
59.79929669266155,-13.313711255047943
59.895685057784725,-13.340309452717044
59.99207726336411,-13.366899148684489
60.08847328688905,-13.39348037877812
60.1848731058489,-13.420053178825793
60.28127669773302,-13.44661758465534
60.37768404003075,-13.473173632094618
60.47409511023145,-13.49972135697146
60.570509885824464,-13.526260795113721
60.66692834429915,-13.552791982349238
60.763350463144846,-13.579314954505863
60.85977621985093,-13.605829747411436
60.95620559190672,-13.632336396893805
61.05263855680159,-13.65883493878081
61.149075092024894,-13.685325408900304
61.24551517506597,-13.711807843080123
61.34195878341417,-13.738282277148118
61.438405894558855,-13.764748746932133
61.53485648598937,-13.791207288260011
61.63130994892026,-13.817657776211908
61.72773170626909,-13.84409077559676
61.82415687295421,-13.870515959649177
61.92058542560599,-13.896933364020642
62.017017340854814,-13.92334302436263
62.11345259533106,-13.94974497632663
62.209891165665105,-13.976139255564116
62.30633302848733,-14.002525897726573
62.40277816042812,-14.028904938465478
62.49922653811785,-14.055276413432319
62.5956781381869,-14.08164035827857
62.69213293726566,-14.107996808655711
62.78859091198449,-14.13434580021523
62.885052038973804,-14.160687368608604
62.981516294863944,-14.187021549487314
63.077983656285305,-14.213348378502838
63.174454099868264,-14.239667891306658
63.27092760224321,-14.26598012355026
63.367404140040534,-14.292285110885123
63.46388368989058,-14.318582888962721
63.56036622842375,-14.344873493434543
63.65685173227043,-14.371156959952067
63.75334017806101,-14.397433324166778
63.84983154242582,-14.423702621730147
63.946325801995286,-14.449964888293659
64.04282293339978,-14.476220159508804
64.13932291326968,-14.50246847102705
64.23582571823535,-14.528709858499884
64.33233132492718,-14.554944357578785
64.42883970997556,-14.581172003915238
64.5253508500109,-14.607392833160723
64.62184267075679,-14.63360089260899
64.71833454486749,-14.659801488997834
64.81482910008505,-14.68599537823062
64.91132631178532,-14.712182595700677
65.00782615534416,-14.738363176801343
65.10432860613744,-14.76453715692596
65.20083363954102,-14.790704571467867
65.29734123093073,-14.816865455820395
65.39385135568246,-14.843019845376883
65.49036398917204,-14.869167775530673
65.58687910677534,-14.895309281675102
65.68339668386825,-14.921444399203509
65.77991669582656,-14.94757316350922
65.87643911802617,-14.973695609985585
65.97296392584292,-14.99981177402594
66.06949109465272,-15.02592169102362
66.16602059983134,-15.052025396371963
66.26255241675469,-15.078122925464305
66.35908652079866,-15.104214313693989
66.45562288733903,-15.130299596454346
66.5521614917517,-15.156378809138719
66.64870230941251,-15.182451987140443
66.74524531569737,-15.208519165852856
66.84179048598207,-15.234580380669298
66.9383377956425,-15.260635666983099
67.03488722005451,-15.286685060187603
67.13143873459397,-15.312728595676152
67.22799231463674,-15.338766308842077
67.32454793555864,-15.364798235078712
67.42110557273556,-15.390824409779402
67.51765575241885,-15.416842322345767
67.61420493250974,-15.442853756355634
67.71075605276806,-15.468859546269945
67.80730908760175,-15.494859727364414
67.9038640114188,-15.520854334914759
68.00042079862713,-15.546843404196686
68.09697942363474,-15.572826970485899
68.19353986084955,-15.598805069058114
68.29010208467955,-15.624777735189044
68.38666606953271,-15.650745004154397
68.48323178981694,-15.67670691122988
68.57979921994023,-15.702663491691206
68.67636833431057,-15.728614780814091
68.77293910733589,-15.754560813874239
68.86951151342411,-15.780501626147357
68.96608552698325,-15.806437252909163
69.06266112242128,-15.832367729435365
69.1592382741461,-15.858293091001675
69.25581695656571,-15.8842133728838
69.35239714408806,-15.910128610357447
69.44897881112111,-15.93603883869834
69.54556193207284,-15.961944093182177
69.64214648135116,-15.987844409084671
69.73873243336406,-16.013739821681536
69.83531976251952,-16.039630366248478
69.9319084432255,-16.065516078061215
70.02849844988992,-16.091396992395445
